"t","c","o","h","l","v","sym","pc"
1371330000,175,171,175,170,1970,"GBBL",2.34
1371420000,170,175,177,170,468,"GBBL",-2.86
1371510000,172,170,176,172,1096,"GBBL",1.18
1371590000,172,172,175,172,1796,"GBBL",0
1371680000,170,172,174,170,2264,"GBBL",-1.16
1371940000,170,170,170,170,40,"GBBL",0
1372200000,161,170,167,160,892,"GBBL",-5.29
1372280000,161,161,162,160,1144,"GBBL",0
1372540000,156,161,161,155,2063,"GBBL",-3.11
1372630000,155,156,156,155,319,"GBBL",-0.64
1372720000,154,155,155,154,531,"GBBL",-0.65
1372800000,154,154,155,154,88,"GBBL",0
1372890000,156,154,156,154,291,"GBBL",1.3
1373150000,153,156,153,153,440,"GBBL",-1.92
1373230000,156,153,156,156,50,"GBBL",1.96
1373320000,155,156,155,154,187,"GBBL",-0.64
1373410000,158,155,158,156,182,"GBBL",1.94
1373490000,156,158,156,156,132,"GBBL",-1.27
1373750000,156,156,159,156,66,"GBBL",0
1373840000,155,156,157,155,36,"GBBL",-0.64
1373930000,152,155,152,152,66,"GBBL",-1.94
1374010000,150,152,150,150,30,"GBBL",-1.32
1374100000,159,150,159,153,130,"GBBL",6
1374360000,165,159,165,162,194,"GBBL",3.77
1374440000,168,165,168,165,110,"GBBL",1.82
1374530000,168,168,171,168,647,"GBBL",0
1374620000,165,168,165,165,121,"GBBL",-1.79
1374700000,162,165,162,162,94,"GBBL",-1.82
1374960000,165,162,165,160,354,"GBBL",1.85
1375050000,164,165,166,160,495,"GBBL",-0.61
1375140000,166,164,167,164,2306,"GBBL",1.22
1375220000,162,166,166,162,176,"GBBL",-2.41
1375310000,160,162,163,160,583,"GBBL",-1.23
1375570000,171,160,171,163,404,"GBBL",6.88
1375650000,168,171,169,168,132,"GBBL",-1.75
1375740000,169,168,171,168,439,"GBBL",0.6
1375830000,165,169,166,164,143,"GBBL",-2.37
1375910000,168,165,168,155,483,"GBBL",1.82
1376170000,162,168,165,162,173,"GBBL",-3.57
1376260000,167,162,167,165,1514,"GBBL",3.09
1376340000,165,167,170,165,1218,"GBBL",-1.2
1376780000,166,165,168,163,836,"GBBL",0.61
1376860000,182,166,182,163,2670,"GBBL",9.64
1376950000,200,182,200,180,3475,"GBBL",9.89
1377380000,205,200,208,199,3669,"GBBL",2.5
1377470000,200,205,205,199,3859,"GBBL",-2.44
1377550000,201,200,205,201,2170,"GBBL",0.5
1377730000,204,201,205,197,5342,"GBBL",1.49
1377990000,201,204,206,200,1892,"GBBL",-1.47
1378160000,200,201,200,195,914,"GBBL",-0.5
1378250000,199,200,199,195,892,"GBBL",-0.5
1378330000,196,199,197,196,788,"GBBL",-1.51
1378590000,197,196,199,197,300,"GBBL",0.51
1378680000,199,197,203,196,1298,"GBBL",1.02
1378760000,213,199,218,202,4934,"GBBL",7.04
1378850000,215,213,215,212,2182,"GBBL",0.94
1378940000,223,215,223,216,2463,"GBBL",3.72
1379200000,225,223,228,218,5938,"GBBL",0.9
1379280000,226,225,227,222,2488,"GBBL",0.44
1379370000,222,226,226,219,3136,"GBBL",-1.77
