"t","c","o","h","l","v","sym","pc"
1371420000,267,265,267,267,110,"MNBBL",0.75
1371590000,266,267,266,265,340,"MNBBL",-0.37
1371680000,261,266,261,261,225,"MNBBL",-1.88
1371940000,260,261,260,256,790,"MNBBL",-0.38
1372020000,260,260,260,260,24,"MNBBL",0
1372110000,265,260,265,264,134,"MNBBL",1.92
1372200000,265,265,265,265,113,"MNBBL",0
1372280000,268,265,268,265,304,"MNBBL",1.13
1372540000,258,268,263,258,158,"MNBBL",-3.73
1372630000,260,258,260,260,150,"MNBBL",0.78
1372720000,260,260,260,257,430,"MNBBL",0
1372800000,267,260,267,262,569,"MNBBL",2.69
1372890000,262,267,265,262,763,"MNBBL",-1.87
1373150000,254,262,258,254,861,"MNBBL",-3.05
1373230000,256,254,258,256,304,"MNBBL",0.79
1373320000,265,256,265,260,470,"MNBBL",3.52
1373410000,265,265,270,265,228,"MNBBL",0
1373490000,264,265,264,262,356,"MNBBL",-0.38
1374010000,265,264,265,265,200,"MNBBL",0.38
1374100000,291,265,291,270,1657,"MNBBL",9.81
1374360000,302,291,305,296,2903,"MNBBL",3.78
1374440000,301,302,308,300,2036,"MNBBL",-0.33
1374620000,288,301,295,286,409,"MNBBL",-4.32
1374700000,276,288,285,276,685,"MNBBL",-4.17
1374960000,289,276,289,281,299,"MNBBL",4.71
1375050000,294,289,304,294,4268,"MNBBL",1.73
1375140000,292,294,294,290,2972,"MNBBL",-0.68
1375220000,300,292,300,297,3401,"MNBBL",2.74
1375310000,301,300,301,296,1173,"MNBBL",0.33
1375570000,299,301,306,299,2420,"MNBBL",-0.66
1375650000,300,299,304,299,1190,"MNBBL",0.33
1375830000,300,300,301,300,1096,"MNBBL",0
1375910000,300,300,300,300,1568,"MNBBL",0
1376170000,303,300,303,302,654,"MNBBL",1
1376260000,310,303,310,303,1813,"MNBBL",2.31
1376340000,328,310,328,316,2044,"MNBBL",5.81
1376430000,334,328,335,323,1963,"MNBBL",1.83
1376520000,331,334,331,325,815,"MNBBL",-0.9
1376780000,333,331,338,330,2905,"MNBBL",0.6
1376860000,350,333,350,336,1761,"MNBBL",5.11
1376950000,362,350,362,355,549,"MNBBL",3.43
1377380000,360,362,360,355,134,"MNBBL",-0.55
1377470000,353,360,360,353,220,"MNBBL",-1.94
1377550000,346,353,355,346,1964,"MNBBL",-1.98
1377730000,340,346,340,334,556,"MNBBL",-1.73
1377990000,335,340,335,329,2099,"MNBBL",-1.47
1378070000,340,335,340,335,1344,"MNBBL",1.49
1378160000,340,340,340,335,1651,"MNBBL",0
1378250000,335,340,336,335,281,"MNBBL",-1.47
1378330000,365,335,365,341,2829,"MNBBL",8.96
1378590000,335,365,358,332,642,"MNBBL",-8.22
1378680000,358,335,362,334,2518,"MNBBL",6.87
1378760000,370,358,379,365,9411,"MNBBL",3.35
1378850000,356,370,370,353,4128,"MNBBL",-3.78
1378940000,350,356,356,350,551,"MNBBL",-1.69
1379200000,350,350,352,345,3018,"MNBBL",0
1379280000,355,350,357,346,3734,"MNBBL",1.43
1379370000,359,355,360,347,1225,"MNBBL",1.13
1379540000,360,359,360,348,6452,"MNBBL",0.28
1379800000,294,360,294,294,100,"MNBBL",-18.33
1380410000,286,294,290,286,257,"MNBBL",-2.72
1380490000,270,286,281,266,730,"MNBBL",-5.59
1380580000,265,270,265,265,36,"MNBBL",-1.85
1381100000,265,265,265,265,24,"MNBBL",0
1382310000,275,265,275,270,661,"MNBBL",3.77
1382390000,280,275,280,280,67,"MNBBL",1.82
1382480000,299,280,300,285,657,"MNBBL",6.79
1382570000,302,299,302,300,1854,"MNBBL",1
1382820000,317,302,317,302,809,"MNBBL",4.97
1382910000,335,317,335,323,320,"MNBBL",5.68
1383000000,341,335,341,340,3871,"MNBBL",1.79
1383090000,339,341,347,339,807,"MNBBL",-0.59
1383170000,340,339,340,338,396,"MNBBL",0.29
1384040000,342,340,346,342,618,"MNBBL",0.59
1384120000,367,342,367,348,1440,"MNBBL",7.31
1384210000,380,367,380,370,2059,"MNBBL",3.54
1384300000,395,380,400,374,2674,"MNBBL",3.95
1384380000,399,395,401,395,7319,"MNBBL",1.01
1385420000,351,399,351,339,30,"MNBBL",-12.03
1385510000,386,351,386,358,680,"MNBBL",9.97
1385590000,424,386,424,393,2312,"MNBBL",9.84
1385850000,410,424,416,410,78,"MNBBL",-3.3
1385940000,451,410,451,410,8906,"MNBBL",10
1386030000,469,451,469,460,633,"MNBBL",3.99
1386200000,487,469,496,478,322,"MNBBL",3.84
1386460000,460,487,490,460,1032,"MNBBL",-5.54
1386540000,451,460,451,451,120,"MNBBL",-1.96
1386630000,432,451,442,432,60,"MNBBL",-4.21
1386720000,415,432,424,400,663,"MNBBL",-3.94
1386800000,420,415,428,420,1495,"MNBBL",1.2
1387150000,436,420,436,424,870,"MNBBL",3.81
1387410000,430,436,444,428,1763,"MNBBL",-1.38
1387670000,416,430,425,415,2901,"MNBBL",-3.26
1387750000,416,416,424,415,1349,"MNBBL",0
1387840000,415,416,415,413,839,"MNBBL",-0.24
1388010000,425,415,431,416,3003,"MNBBL",2.41
1388270000,438,425,438,415,4112,"MNBBL",3.06
1388440000,439,438,439,430,573,"MNBBL",0.23
1388530000,435,439,447,432,2999,"MNBBL",-0.91
1388620000,447,435,447,432,1488,"MNBBL",2.76
1388880000,450,447,465,442,6467,"MNBBL",0.67
1388960000,480,450,480,445,3501,"MNBBL",6.67
1389050000,495,480,506,489,2121,"MNBBL",3.12
1389140000,504,495,504,491,2763,"MNBBL",1.82
1389220000,490,504,500,486,1596,"MNBBL",-2.78
1389480000,516,490,516,490,1149,"MNBBL",5.31
1389570000,567,516,567,522,2618,"MNBBL",9.88
1389650000,586,567,590,560,2494,"MNBBL",3.35
1389830000,571,586,595,571,429,"MNBBL",-2.56
1390090000,579,571,579,572,748,"MNBBL",1.4
1390170000,570,579,590,559,1831,"MNBBL",-1.55
1390260000,570,570,580,570,282,"MNBBL",0
1390350000,550,570,560,542,1001,"MNBBL",-3.51
1390430000,550,550,561,545,1404,"MNBBL",0
1390690000,530,550,545,525,970,"MNBBL",-3.64
1390780000,500,530,520,500,1329,"MNBBL",-5.66
1390860000,500,500,500,490,613,"MNBBL",0
1390950000,510,500,510,510,381,"MNBBL",2
1391300000,500,510,530,500,1806,"MNBBL",-1.96
1391380000,515,500,515,490,1234,"MNBBL",3
1391470000,525,515,525,505,964,"MNBBL",1.94
1391550000,535,525,535,524,528,"MNBBL",1.9
1391640000,550,535,550,540,1401,"MNBBL",2.8
1391900000,554,550,561,548,2347,"MNBBL",0.73
1391990000,549,554,565,549,170,"MNBBL",-0.9
1392070000,539,549,539,539,61,"MNBBL",-1.82
1392160000,535,539,545,535,2342,"MNBBL",-0.74
1392250000,560,535,560,525,2522,"MNBBL",4.67
1392510000,540,560,549,540,774,"MNBBL",-3.57
1392590000,550,540,550,530,779,"MNBBL",1.85
1392680000,550,550,550,550,167,"MNBBL",0
1392850000,540,550,540,540,80,"MNBBL",-1.82
1393110000,560,540,561,550,191,"MNBBL",3.7
1393200000,550,560,560,550,755,"MNBBL",-1.79
1393280000,550,550,550,545,790,"MNBBL",0
1393370000,540,550,551,539,950,"MNBBL",-1.82
1393800000,531,540,531,531,24,"MNBBL",-1.67
1394060000,525,531,525,522,1049,"MNBBL",-1.13
1394320000,515,525,515,515,61,"MNBBL",-1.9
1394410000,522,515,522,515,415,"MNBBL",1.36
1394490000,535,522,535,520,535,"MNBBL",2.49
1394580000,535,535,535,535,200,"MNBBL",0
1394670000,520,535,525,520,2083,"MNBBL",-2.8
1395010000,510,520,510,510,661,"MNBBL",-1.92
1395100000,490,510,500,481,1310,"MNBBL",-3.92
1395180000,490,490,499,490,1297,"MNBBL",0
1395270000,495,490,499,490,817,"MNBBL",1.02
1395530000,490,495,499,481,1367,"MNBBL",-1.01
1395620000,491,490,491,482,123,"MNBBL",0.2
1395700000,482,491,490,482,576,"MNBBL",-1.83
1395790000,500,482,500,482,269,"MNBBL",3.73
1395870000,493,500,495,490,1690,"MNBBL",-1.4
1396220000,499,493,499,490,220,"MNBBL",1.22
1396300000,510,499,515,504,142,"MNBBL",2.2
1396390000,510,510,515,509,1397,"MNBBL",0
1396480000,510,510,510,500,1045,"MNBBL",0
1396740000,505,510,505,505,40,"MNBBL",-0.98
1396820000,525,505,525,505,564,"MNBBL",3.96
1396990000,525,525,525,520,433,"MNBBL",0
1397080000,560,525,560,530,2819,"MNBBL",6.67
1397340000,559,560,570,559,448,"MNBBL",-0.18
1397510000,555,559,555,548,247,"MNBBL",-0.72
1397600000,548,555,566,548,1489,"MNBBL",-1.26
1397690000,548,548,550,548,740,"MNBBL",0
1397940000,538,548,547,538,2451,"MNBBL",-1.82
1398030000,540,538,546,535,2198,"MNBBL",0.37
1398120000,545,540,545,541,200,"MNBBL",0.93
1398200000,542,545,545,535,1081,"MNBBL",-0.55
1398550000,530,542,545,530,222,"MNBBL",-2.21
1398640000,505,530,528,505,868,"MNBBL",-4.72
1398720000,510,505,510,505,2463,"MNBBL",0.99
1398810000,520,510,530,510,2326,"MNBBL",1.96
1399150000,525,520,526,517,1411,"MNBBL",0.96
1399240000,552,525,555,532,2759,"MNBBL",5.14
1399330000,541,552,584,541,4379,"MNBBL",-1.99
1399410000,544,541,550,540,3307,"MNBBL",0.55
1399500000,526,544,534,525,2150,"MNBBL",-3.31
1399760000,524,526,526,520,1079,"MNBBL",-0.38
1399850000,525,524,526,520,1093,"MNBBL",0.19
1399930000,515,525,515,515,56,"MNBBL",-1.9
1400100000,515,515,516,515,162,"MNBBL",0
1400360000,555,515,555,516,3124,"MNBBL",7.77
1400450000,526,555,544,515,1889,"MNBBL",-5.23
1400540000,520,526,525,518,421,"MNBBL",-1.14
1400620000,525,520,540,510,1230,"MNBBL",0.96
1400710000,530,525,530,525,764,"MNBBL",0.95
1400970000,532,530,541,530,3122,"MNBBL",0.38
1401060000,540,532,540,535,471,"MNBBL",1.5
1401140000,535,540,541,535,1024,"MNBBL",-0.93
1401230000,545,535,545,542,2735,"MNBBL",1.87
1401570000,540,545,540,535,161,"MNBBL",-0.92
1401660000,536,540,540,536,229,"MNBBL",-0.74
1401750000,550,536,550,529,3797,"MNBBL",2.61
1401830000,540,550,552,540,1194,"MNBBL",-1.82
1401920000,540,540,540,530,830,"MNBBL",0
1402180000,549,540,549,549,963,"MNBBL",1.67
1402260000,550,549,550,540,405,"MNBBL",0.18
1402350000,545,550,554,545,503,"MNBBL",-0.91
1402440000,535,545,549,535,1159,"MNBBL",-1.83
1402520000,532,535,535,525,3023,"MNBBL",-0.56
1402780000,545,532,545,535,985,"MNBBL",2.44
1402870000,547,545,547,537,106,"MNBBL",0.37
1402960000,545,547,555,545,1022,"MNBBL",-0.37
1403040000,545,545,545,525,903,"MNBBL",0
1403130000,540,545,540,540,18,"MNBBL",-0.92
1403470000,530,540,530,530,64,"MNBBL",-1.85
1403560000,535,530,540,526,863,"MNBBL",0.94
1403650000,542,535,545,535,1265,"MNBBL",1.31
1403730000,532,542,542,532,433,"MNBBL",-1.85
1403990000,545,532,545,531,1277,"MNBBL",2.44
1404080000,555,545,566,539,5631,"MNBBL",1.83
1404170000,583,555,586,546,2371,"MNBBL",5.05
1404250000,628,583,628,594,4247,"MNBBL",7.72
1404340000,609,628,645,609,955,"MNBBL",-3.03
1404600000,620,609,620,598,2626,"MNBBL",1.81
1404680000,600,620,610,599,3290,"MNBBL",-3.23
1404770000,622,600,622,600,3166,"MNBBL",3.67
1404860000,635,622,635,625,1435,"MNBBL",2.09
1404940000,630,635,635,630,400,"MNBBL",-0.79
1405200000,635,630,640,630,690,"MNBBL",0.79
1405290000,630,635,631,627,1358,"MNBBL",-0.79
1405460000,630,630,640,630,1454,"MNBBL",0
1405550000,693,630,693,631,7553,"MNBBL",10
1405810000,762,693,762,700,9814,"MNBBL",9.96
1405890000,731,762,775,731,3645,"MNBBL",-4.07
1405980000,740,731,745,705,3531,"MNBBL",1.23
