"t","c","o","h","l","v","sym","pc"
1371330000,1738,1728,1740,1725,1064,"NABIL",0.58
1371420000,1720,1738,1731,1720,1445,"NABIL",-1.04
1371510000,1719,1720,1721,1701,1011,"NABIL",-0.06
1371590000,1721,1719,1722,1706,1715,"NABIL",0.12
1371680000,1711,1721,1715,1706,1816,"NABIL",-0.58
1371940000,1715,1711,1718,1700,528,"NABIL",0.23
1372020000,1716,1715,1721,1705,812,"NABIL",0.06
1372110000,1730,1716,1730,1709,1982,"NABIL",0.82
1372200000,1765,1730,1785,1730,2051,"NABIL",2.02
1372280000,1773,1765,1785,1750,1651,"NABIL",0.45
1372540000,1750,1773,1771,1730,1692,"NABIL",-1.3
1372630000,1747,1750,1759,1745,1948,"NABIL",-0.17
1372720000,1748,1747,1748,1740,869,"NABIL",0.06
1372800000,1743,1748,1753,1725,1706,"NABIL",-0.29
1372890000,1741,1743,1746,1735,1636,"NABIL",-0.11
1373150000,1741,1741,1747,1730,2216,"NABIL",0
1373230000,1750,1741,1754,1736,2866,"NABIL",0.52
1373320000,1779,1750,1779,1753,1603,"NABIL",1.66
1373410000,1805,1779,1809,1780,5003,"NABIL",1.46
1373490000,1786,1805,1795,1786,632,"NABIL",-1.05
1373750000,1790,1786,1800,1788,1240,"NABIL",0.22
1373840000,1815,1790,1823,1810,553,"NABIL",1.4
1373930000,1800,1815,1819,1795,2427,"NABIL",-0.83
1374010000,1825,1800,1825,1801,3409,"NABIL",1.39
1374100000,1865,1825,1872,1811,5092,"NABIL",2.19
1374360000,1910,1865,1970,1890,5250,"NABIL",2.41
1374440000,1885,1910,1915,1885,1031,"NABIL",-1.31
1374530000,1920,1885,1920,1870,898,"NABIL",1.86
1374620000,1890,1920,1900,1843,2886,"NABIL",-1.56
1374700000,1889,1890,1905,1880,1962,"NABIL",-0.05
1374960000,1905,1889,1918,1880,2279,"NABIL",0.85
1375050000,1900,1905,1910,1890,2562,"NABIL",-0.26
1375140000,1910,1900,1915,1900,2927,"NABIL",0.53
1375220000,1925,1910,1935,1900,2384,"NABIL",0.79
1375310000,1910,1925,1950,1900,2696,"NABIL",-0.78
1375570000,1915,1910,1915,1891,3186,"NABIL",0.26
1375650000,1895,1915,1901,1890,1105,"NABIL",-1.04
1375740000,1903,1895,1905,1885,2029,"NABIL",0.42
1375830000,1890,1903,1920,1890,635,"NABIL",-0.68
1375910000,1900,1890,1926,1880,2663,"NABIL",0.53
1376170000,1870,1900,1875,1850,867,"NABIL",-1.58
1376260000,1850,1870,1870,1842,1648,"NABIL",-1.07
1376340000,1830,1850,1850,1812,2663,"NABIL",-1.08
1376430000,1819,1830,1860,1819,1105,"NABIL",-0.6
1376520000,1845,1819,1845,1818,651,"NABIL",1.43
1376780000,1825,1845,1845,1822,1294,"NABIL",-1.08
1376860000,1838,1825,1850,1830,1782,"NABIL",0.71
1376950000,1855,1838,1855,1830,807,"NABIL",0.92
1377380000,1860,1855,1870,1850,1577,"NABIL",0.27
1377470000,1851,1860,1860,1840,1868,"NABIL",-0.48
1377550000,1853,1851,1859,1840,1193,"NABIL",0.11
1377730000,1834,1853,1856,1830,1962,"NABIL",-1.03
1377990000,1830,1834,1840,1830,787,"NABIL",-0.22
1378070000,1820,1830,1825,1820,802,"NABIL",-0.55
1378160000,1820,1820,1828,1800,3564,"NABIL",0
1378250000,1820,1820,1840,1803,2269,"NABIL",0
1378330000,1820,1820,1820,1799,3902,"NABIL",0
1378590000,2002,1820,2002,1856,9905,"NABIL",10
1378680000,1965,2002,2039,1961,8448,"NABIL",-1.85
1378760000,1940,1965,1965,1926,5604,"NABIL",-1.27
